# AGCNr    HIra         HIdec       v21     redshift               dist    w50   flux   snratio   loghimass   groupid   gra            gdec          gz           Mhalo_L   Mhalo_M   ngal   r180L                d_A_mpc              r180_arcmin          galid    ra              dec            z           MASS           
  210855   177.951248   19.353334   6931    0.023103333333333333   103.7   366   1.37   7.2       9.54        5         176.06469653   20.01727248   0.02191886   14.684    14.607    289    2.6440056831746515   96.4847682553006     94.20577116607564    554794   177.952004727   19.358109535   0.0231847   5.3680184E9    
  219181   177.975006   19.636944   6049    0.02016333333333333    99.4    195   1.91   14.0      9.65        5         176.06469653   20.01727248   0.02191886   14.684    14.607    289    2.6440056831746515   84.42680886352434    107.66037614857275   565209   177.981823257   19.645896079   0.0202046   6.0738752E8    
  741269   175.55751    19.061943   7206    0.02402                97.7    135   0.71   5.8       9.2         5         176.06469653   20.01727248   0.02191886   14.684    14.607    289    2.6440056831746515   100.10808437406486   90.7960836140572     564841   175.564635477   19.069944601   0.0240836   1.45480154E9   
  210634   175.699585   20.034445   6324    0.02108                72.1    292   0.81   5.3       9.0         5         176.06469653   20.01727248   0.02191886   14.684    14.607    289    2.6440056831746515   87.99353702002709    103.29647275347003   555694   175.688146253   20.03230827    0.0210843   1.70898985E10  
  741339   176.17543    19.057777   5843    0.019476666666666666   97.7    64    0.57   5.1       9.11        5         176.06469653   20.01727248   0.02191886   14.684    14.607    289    2.6440056831746515   81.10052203202875    112.07599866843066   564854   176.171474168   19.052899387   0.0193913   8.8749331E8    
  719511   176.304596   21.640833   6699    0.02233                97.7    80    0.54   5.8       9.09        5         176.06469653   20.01727248   0.02191886   14.684    14.607    289    2.6440056831746515   92.90155655572802    97.83928640440266    533261   176.312329166   21.644403778   0.0222973   2.74154547E9   
  219169   176.900833   20.144167   5312    0.017706666666666666   97.7    136   0.66   5.8       9.17        5         176.06469653   20.01727248   0.02191886   14.684    14.607    289    2.6440056831746515   74.33193440820918    122.28152101295046   555738   176.906574133   20.150118859   0.0177442   4.7371643E9    
  722850   166.455002   28.668333   9828    0.03276                144.7   241   1.47   9.3       9.86        6         167.6171258    28.38934327   0.03345767   14.6174   14.5595   214    2.484210409221817    134.70903602885434   63.39653644632546    504785   166.449270349   28.662927906   0.0327479   3.55084109E9   
  216350   166.474152   28.860834   9594    0.03198                141.3   255   1.17   8.3       9.74        6         167.6171258    28.38934327   0.03345767   14.6174   14.5595   214    2.484210409221817    131.91215357822662   64.74070872619168    500305   166.474438047   28.857521007   0.0320421   2.62633882E9   
  6147     166.478333   28.798056   9931    0.03310333333333333    146.1   530   2.95   13.2      10.17       6         167.6171258    28.38934327   0.03345767   14.6174   14.5595   214    2.484210409221817    136.0336243009137    62.779230915450015   500304   166.474078904   28.799714011   0.0330825   3.7348078E10   
  722868   166.68251    28.622778   10310   0.03436666666666666    151.6   256   1.24   8.8       9.83        6         167.6171258    28.38934327   0.03345767   14.6174   14.5595   214    2.484210409221817    141.211699235922     60.47718679445062    504790   166.681367861   28.629438344   0.0343926   2.91416038E9   
  6160     166.706665   28.70389    9317    0.031056666666666666   137.4   301   2.9    17.4      10.11       6         167.6171258    28.38934327   0.03345767   14.6174   14.5595   214    2.484210409221817    128.2793805198419    66.57411563452067    504787   166.704948925   28.703690232   0.0311268   6.2165965E9    
  6166     166.784164   28.594168   10163   0.033876666666666666   149.5   359   4.74   31.0      10.4        6         167.6171258    28.38934327   0.03345767   14.6174   14.5595   214    2.484210409221817    139.33067631063383   61.29365433648475    504792   166.78637697    28.59245069    0.0339163   3.5291632E10   
  211047   166.962921   28.5        9831    0.03277                144.7   194   1.08   8.5       9.73        6         167.6171258    28.38934327   0.03345767   14.6174   14.5595   214    2.484210409221817    134.5336003147703    63.479207367313926   499292   166.965227583   28.500513002   0.0327036   1.205824E10    
  722906   167.041672   28.646111   8611    0.028703333333333334   127.3   202   1.49   13.1      9.76        6         167.6171258    28.38934327   0.03345767   14.6174   14.5595   214    2.484210409221817    118.89003860568637   71.83180704126856    504797   167.046183799   28.645736552   0.0287686   1.29574234E9   
